id_vaga,nome_vaga,descricao,skills_necessarias,salario,modalidade,local
1,Engenheiro de Dados,"Engenheiro de Dados responsável por planejar aplicações. Necessário conhecimento em HTML, Agile, Docker, Machine Learning.","HTML, Agile, Docker, Machine Learning","R$ 7,683,00",Híbrido,Belo Horizonte
2,Scrum Master,"Scrum Master responsável por gerenciar redes. Necessário conhecimento em C++, Java, AWS, CSS.","C++, Java, AWS, CSS","R$ 13,325,00",Remoto,Recife
3,Cientista de Dados,"Cientista de Dados responsável por planejar aplicações. Necessário conhecimento em CSS, Node.js, HTML, UI/UX Design, DevOps, Kubernetes.","CSS, Node.js, HTML, UI/UX Design, DevOps, Kubernetes","R$ 4,653,00",Remoto,Florianópolis
4,Analista de Infraestrutura,"Analista de Infraestrutura responsável por gerenciar sistemas. Necessário conhecimento em Python, C++, Kubernetes, Cybersecurity, HTML.","Python, C++, Kubernetes, Cybersecurity, HTML","R$ 6,870,00",Remoto,Fortaleza
5,Consultor SAP,"Consultor SAP responsável por otimizar infraestrutura. Necessário conhecimento em AWS, Agile, Machine Learning, DevOps, C++.","AWS, Agile, Machine Learning, DevOps, C++","R$ 10,690,00",Remoto,Florianópolis
6,Cientista de Dados,"Cientista de Dados responsável por otimizar aplicações. Necessário conhecimento em React, Machine Learning, DevOps, CSS.","React, Machine Learning, DevOps, CSS","R$ 4,601,00",Remoto,Rio de Janeiro
7,Especialista em Redes,"Especialista em Redes responsável por gerenciar dados. Necessário conhecimento em React, JavaScript, Node.js, UI/UX Design, Python.","React, JavaScript, Node.js, UI/UX Design, Python","R$ 10,770,00",Presencial,Porto Alegre
8,Engenheiro de Software,"Engenheiro de Software responsável por manter aplicações. Necessário conhecimento em Cybersecurity, DevOps, Data Analysis, Java, Docker.","Cybersecurity, DevOps, Data Analysis, Java, Docker","R$ 6,146,00",Remoto,Recife
9,Analista de QA,"Analista de QA responsável por manter aplicações. Necessário conhecimento em Python, Kubernetes, AWS.","Python, Kubernetes, AWS","R$ 4,224,00",Híbrido,Salvador
10,Engenheiro de Dados,"Engenheiro de Dados responsável por otimizar redes. Necessário conhecimento em JavaScript, Data Analysis, Cybersecurity, SQL.","JavaScript, Data Analysis, Cybersecurity, SQL","R$ 8,781,00",Híbrido,Curitiba
11,Arquiteto de Soluções,"Arquiteto de Soluções responsável por gerenciar aplicações. Necessário conhecimento em DevOps, Kubernetes, Data Analysis, SQL, Node.js, JavaScript.","DevOps, Kubernetes, Data Analysis, SQL, Node.js, JavaScript","R$ 6,236,00",Presencial,Curitiba
12,Arquiteto de Soluções,"Arquiteto de Soluções responsável por gerenciar aplicações. Necessário conhecimento em UI/UX Design, HTML, Python, CSS, Cybersecurity.","UI/UX Design, HTML, Python, CSS, Cybersecurity","R$ 14,812,00",Remoto,Belo Horizonte
13,Consultor SAP,"Consultor SAP responsável por manter projetos. Necessário conhecimento em Angular, React, Scrum, Node.js, Data Analysis, DevOps.","Angular, React, Scrum, Node.js, Data Analysis, DevOps","R$ 7,912,00",Híbrido,Salvador
14,Product Owner,"Product Owner responsável por desenvolver dados. Necessário conhecimento em Java, React, DevOps, Node.js, UI/UX Design, Agile.","Java, React, DevOps, Node.js, UI/UX Design, Agile","R$ 4,606,00",Presencial,Fortaleza
15,Consultor de TI,"Consultor de TI responsável por planejar redes. Necessário conhecimento em JavaScript, Data Analysis, Cybersecurity, UI/UX Design, Agile.","JavaScript, Data Analysis, Cybersecurity, UI/UX Design, Agile","R$ 6,361,00",Remoto,Belo Horizonte
16,Engenheiro de Dados,"Engenheiro de Dados responsável por gerenciar dados. Necessário conhecimento em HTML, React, Node.js, C++, Agile, Machine Learning.","HTML, React, Node.js, C++, Agile, Machine Learning","R$ 9,188,00",Híbrido,Recife
17,Analista de BI,"Analista de BI responsável por manter projetos. Necessário conhecimento em Cybersecurity, C++, Kubernetes.","Cybersecurity, C++, Kubernetes","R$ 5,480,00",Remoto,Rio de Janeiro
